GPU Name,Performance
Q12U-1,"5,164"
Radeon R9 M295X,"5,150"
GeForce GTX 760 Ti,"5,145"
Radeon Ryzen 7 PRO 6850U,"5,142"
Quadro P2000 with Max-Q Design,"5,132"
GeForce GTX 1050 3GB,"5,120"
Radeon Ryzen 7 7735U,"5,097"
Ryzen 7 PRO 6860Z,"5,077"
Ryzen 9 PRO 6950HS with Radeon Graphics,"5,068"
FirePro S9000,"5,059"
GRID T4-16Q,"5,055"
EIZO Quadro MED-XN51LP,"5,048"
GeForce GTX 1050,"5,045"
Ryzen 7 PRO 6850U with Radeon Graphics,"5,043"
Radeon R9 M395X,"5,038"
Radeon R9 M395,"5,024"
Ryzen 7 6800U,"5,006"
GeForce GTX 1630,"4,996"
Radeon Ryzen 7 4800HS,"4,984"
Radeon Instinct MI25 MxGPU,"4,979"
Barco MXRT 7600,"4,944"
Ryzen 7 6800H with Radeon Graphics,"4,922"
Radeon R9 270X,"4,908"
FirePro S9050,"4,901"
Ryzen 7 6800U with Radeon Graphics,"4,845"
GRID P40-2Q,"4,844"
T550 Laptop GPU,"4,801"
Ryzen 7 PRO 6860Z with Radeon Graphics,"4,789"
GRID RTX6000P-6Q,"4,777"
GeForce GTX 760,"4,775"
FirePro S10000,"4,768"
Radeon HD 7950 / R9 280,"4,765"
Radeon Sky 500,"4,764"
GRID P40-24Q,"4,728"
Radeon R9 370,"4,722"
Radeon Pro Vega 16,"4,683"
Ryzen 9 6900HX with Radeon Graphics,"4,680"
GRID V100D-2Q,"4,668"
Radeon Pro WX Vega M GL,"4,643"
Radeon HD 7870,"4,637"
Radeon Ryzen 7 PRO 6860Z,"4,637"
Matrox LUMA A310F,"4,560"
GeForce MX550,"4,557"
B8DKMDAP,"4,557"
GeForce GTX 580,"4,539"
Radeon Pro 465,"4,538"
Radeon Ryzen 7 6800U,"4,534"
FirePro S7000,"4,524"
GRID T4-8Q,"4,519"
Radeon R7 370,"4,516"
Tesla K40c,"4,495"
Radeon HD 7870 XT,"4,470"
GeForce GTX 1050 (Mobile),"4,462"
GRID M60-1B,"4,457"
Citrix Indirect Display Adapter,"4,447"
GRID P6-4Q,"4,429"
Quadro P1000,"4,420"
GeForce GTX 660 Ti,"4,374"
FirePro W7000 Adapter,"4,362"
GRID GTX P40-6,"4,340"
Tesla K20m,"4,331"
Quadro K4200,"4,315"
Radeon RX 5300M,"4,307"
Radeon R9 270,"4,306"
Quadro M2200,"4,306"
GRID RTX6000P-4Q,"4,283"
FirePro W7000,"4,260"
Radeon R9 270 / R7 370,"4,260"
GRID M60-1Q,"4,251"
RTXA6000-8Q,"4,237"
NVIDIA A40-4Q,"4,230"
NVIDIA A40-8Q,"4,220"
